gene,log2FC,p_value,p_adj
CDC20,2.4963892057467625,8.638261072180964e-150,1.3300330572837028e-146
CENPA,2.439755951266859,1.8359156344700058e-147,1.884506201595645e-144
PSAT1,4.097081485043846,4.817402990088863e-144,4.1207529910221234e-141
ORC6L,2.054867450001753,5.7022507752554914e-139,3.8172850081134256e-136
HJURP,2.052720091158027,1.136176979042164e-136,6.728352671658539e-134
PLK1,2.092003607327316,1.0083498204908636e-134,5.5448436378920806e-132
AURKB,2.416170133617559,2.176258882758065e-133,1.1169286005941978e-130
KIF2C,2.191983085508303,8.224051510202028e-132,3.6178777457880177e-129
MYBL2,2.5161619085993525,1.2231677909313136e-131,5.231420688047066e-129
CDCA7,3.1281302944438725,5.615195560656566e-127,2.161429151185729e-124
CDC45,2.0794806297875192,1.9557470156740537e-123,6.843781090984864e-121
CCNB2,1.9615055310041365,5.1356051025120985e-121,1.6010305371103157e-118
TPX2,1.950640116460434,5.285854771443878e-121,1.6010305371103157e-118
CDCA8,1.9982452991230808,8.392548265526935e-120,2.4850012623907356e-117
MELK,2.2498620091158115,1.5722844569022964e-116,4.401538869622665e-114
ZNF695,2.617529335205007,9.183493210308433e-116,2.5249686599842665e-113
CDC25A,1.9877997331115087,6.29331517366192e-115,1.6999679601556591e-112
UBE2C,2.188036117465602,2.9520824894354667e-114,7.703934591497946e-112
CEP55,1.99845594346817,4.731526042049455e-114,1.2141884411572576e-111
CDCA5,1.8083240884198075,5.768003248846331e-114,1.4559007544669993e-111
