gene,t_stat,p_value,log2FC,p_adj
SFRP1,-38.38790814629036,2.2742172885946636e-211,-4.659812194843605,3.501612359249204e-207
RGMA,-37.081932016582414,3.433668410290931e-200,-2.6897939387187204,2.6434096256624733e-196
FAM171A1,-36.1066015911136,7.83634376902631e-191,-2.121163825786386,4.02187283372327e-187
CCDC82,-34.814422411342754,1.226646662547223e-184,-1.5212745945740433,4.721669665809898e-181
BCL11A,-34.39582295455273,9.329176148100656e-181,-3.5456166882241718,2.872826503046116e-177
CLCN4,-33.84490044131147,3.2137050689000815e-176,-2.2086156708549813,8.246902824309092e-173
MID1,-33.06032065363224,2.989701105726347e-171,-2.261633873720145,6.57606113212408e-168
FOXC1,-34.84217077272034,4.022168302283232e-170,-2.741733639486096,7.741165668781865e-167
STAC,-33.434440461899904,3.036716529178565e-169,-2.743313282863415,5.195147155529151e-166
IL34,-32.96601192763406,2.9272454959056806e-168,-2.4512582503641305,4.507079890045977e-165
MOBKL2B,-32.665443182168836,3.983443158941355e-168,-1.867766849090236,5.575734028929095e-165
S100B,-32.8236682233431,3.841225940115585e-164,-3.601238073628827,4.928612983329971e-161
DMD,-32.92948746339954,2.3190256232196807e-163,-2.5612181936262335,2.7466182708241095e-160
TRPM6,-32.88934235026266,3.0510275232849756e-163,-2.5862257613964923,3.3554764840013407e-160
EGFR,-31.945628711481152,6.09245616405912e-163,-2.9351962941023118,6.253703170534551e-160
PTX3,-32.99267836943573,7.906730353814596e-163,-3.2321833063411693,7.608745453605208e-160
BOC,-32.231524745716776,1.540509214072878e-162,-1.9915741043673094,1.395248257004712e-159
B3GNT5,-32.21471228290083,1.6934046009233598e-160,-2.1409477598313087,1.4485194800231649e-157
EPHB6,-31.48088611570893,5.354172672104107e-159,-2.4188815884437327,4.338852454336155e-156
CX3CL1,-31.734570450656776,1.0207979981389714e-158,-2.348881046064202,7.858613388672871e-156
PLCG2,-31.238092438321868,5.5582736223774184e-157,-1.4887809966087602,4.0752732839878626e-154
CHST3,-31.141548872828107,1.0260073331314032e-156,-1.7667176191822005,7.13078127802437e-154
CNTNAP3,-31.45231086526549,1.0651943196373353e-156,-2.9561419871307217,7.13078127802437e-154
NRG2,-32.23138680413934,6.870023812049225e-156,-2.911994718049605,4.4074065264217467e-153
C2orf88,-31.954404869945307,2.4289159716116446e-154,-2.27174875274451,1.4959207685961797e-151
PLAGL1,-30.83766005180349,8.176349379232365e-154,-1.8575626698332757,4.841971207386182e-151
L3MBTL4,-30.850010162348664,1.325914968531593e-153,-2.307998723940785,7.561152877955902e-151
MRAS,-31.20215780641992,2.10312854854269e-151,-1.7104125720092895,1.15649536649685e-148
FAM49A,-30.34734629948446,7.398866789864703e-151,-1.6227696457685719,3.928287998742994e-148
BBOX1,-30.382564888632444,1.2584236277713098e-150,-3.8627437468750685,6.458649532264952e-148
CRYAB,-31.099174556307847,3.169041650672134e-148,-3.128818961000862,1.5739914288838339e-145
TLE4,-30.04471324333429,5.065711790783768e-148,-1.52588506771591,2.4373988888343025e-145
ARHGEF4,-29.492261487777323,1.5694220849272722e-144,-2.2115318286558967,7.32254298231067e-142
ID4,-29.741253231663148,2.069825652388351e-144,-2.6742416490945873,9.373266344065717e-142
NCOA7,-29.526986205524505,3.322625252827993e-144,-1.5871763597530393,1.4616703147940744e-141
TMEM71,-29.488950135017312,9.445887014353466e-143,-2.183514746418556,4.039953398888898e-140
DDX26B,-29.256595988351542,2.41656609173609e-142,-1.5199812677985252,1.0056180571475831e-139
PELI1,-29.146373270083274,5.730209398757445e-142,-1.2935348122866923,2.3217903713860102e-139
PRNP,-29.028967326665637,9.090948322201541e-141,-1.4273829509141027,3.589059777357362e-138
MET,-28.8324650286739,1.6920626237407933e-139,-2.239466871372371,6.513172054434248e-137
MAP7D3,-28.876197688364268,1.9172084127469902e-139,-1.692776973326671,7.199819007576928e-137
FAM126A,-28.767133553694176,9.673662956872496e-139,-1.6582018999586987,3.546318774927758e-136
CHST2,-29.470145740033807,1.5245942737075223e-138,-1.5848890431729812,5.459111170296447e-136
PLEKHG1,-28.687545769075516,1.8577086156554173e-138,-1.4274408876980855,6.500713535283286e-136
GPM6B,-28.681882768763174,4.0986336215228325e-136,-2.026843967522451,1.4023702637908235e-133
TINAGL1,-28.31853066278785,9.746276084440902e-136,-1.8605485962261792,3.2622481059160128e-133
TACR1,-28.563057380235378,1.4211419853156832e-135,-2.8334317645268565,4.655600669767143e-133
NMT2,-28.42939884587782,1.813293996349563e-135,-1.3709471478880833,5.816518262873795e-133
ST8SIA1,-28.17659077233092,9.359915212952254e-135,-2.130902214625766,2.9411145823229764e-132
STAC2,-28.249035653189157,1.739320249934437e-134,-4.755787876893986,5.3560627776481055e-132
ANXA1,-28.473846445251453,1.8142432177109603e-134,-1.7303417490923945,5.4772358476658144e-132
PLA2G4A,-29.010506987838415,4.402313710577946e-134,-2.1500919876741813,1.3035081577263198e-131
PRSS12,-28.767556095852434,5.016683156385686e-134,-2.928387631790616,1.45739378412963e-131
SYNM,-28.864982724186397,5.228826267017971e-134,-2.794628571118004,1.490893296912513e-131
KIAA1045,-29.119487381450305,6.755038722659947e-134,-2.270559191648009,1.8910423856871854e-131
FAM89A,-28.211245896159102,1.2298850251571669e-133,-1.8374399436968796,3.381524952204446e-131
ITPRIPL1,-28.645462269718777,1.3128019096492048e-133,-1.9469830731940574,3.546177368924352e-131
SFRS13B,-29.21425428258757,7.43334545209243e-133,-2.2119361138888256,1.973296895273572e-130
OSR1,-28.22353725629654,1.9156927070648988e-132,-3.0896825661398752,4.999308578081059e-130
PPM1F,-27.99719153712281,2.0290305033087766e-132,-0.9241251565183219,5.206830443240872e-130
TCF7L1,-27.882213161203552,2.1863233117198688e-132,-1.8355504461859429,5.518495086975544e-130
C10orf10,-27.881753282642883,8.116413827303905e-132,-1.797669612073637,2.0156197370806165e-129
ROPN1,-30.149651015786933,1.3630446543834515e-131,-3.9808261673659247,3.331237864054286e-129
CXCL1,-28.067970027839227,2.6150111927881667e-131,-2.8432705718353932,6.291144896149906e-129
EPHB1,-29.069223111242117,7.073479937017083e-131,-2.3584092563205115,1.6755441629269543e-128
NCRNA00092,-29.858153917742104,9.023955037338151e-131,-2.436365654007521,2.1051793289378107e-128
GLIPR2,-27.53671424108798,5.720099861063643e-130,-1.4480806270515902,1.3145130979223418e-127
GABRP,-27.701090021303393,2.1484050155646122e-129,-4.754160374774461,4.864557650683579e-127
MALL,-27.65997457948495,3.6792095757202534e-129,-1.654719576748338,8.209969541647064e-127
CXCL2,-27.804245299096387,9.331116783039082e-129,-2.937643334384041,2.052445787263611e-126
PTGFR,-27.472518519287544,9.048520518498218e-128,-2.529841064324694,1.9622545130044656e-125
SPRY2,-27.8089666419526,1.1406949880607275e-127,-1.7334046091389181,2.4393445459959753e-125
FLJ36031,-27.243315254484248,1.6013415953882885e-127,-1.0721310243255626,3.3775145950949966e-125
LOC284578,-29.021411654215093,3.6829575469958904e-127,-2.5537108253081455,7.663040182580503e-125
NFIB,-27.08053814809635,1.099020118109854e-126,-1.9243525548357674,2.2562150344716562e-124
