gene,t_stat,p_value,log2FC,p_adj
MAML2,-27.022032315803973,9.277332497574018e-126,-1.8663395790308952,1.879514321909831e-123
RBMS1,-27.238457284351625,9.43643325828005e-126,-1.0799924588596053,1.8869189984121807e-123
TRIM29,-26.959882803644547,1.2425604149703653e-125,-3.4922113948609805,2.4527823986280405e-123
ADAMTS3,-27.076013507788105,2.4210088463924535e-125,-1.7564275157061848,4.7185155959372916e-123
MGAT3,-27.256055809677118,3.4212815203557705e-125,-1.9029839954566246,6.584683946114725e-123
FAM107A,-27.753298769997485,4.988978044344448e-125,-2.674880036303568,9.483369746761909e-123
SIRPA,-26.99379839596939,5.155413675591854e-125,-1.230749101649975,9.680232239400949e-123
PNRC1,-26.842703697151087,6.918998875848129e-125,-0.9016133257972729,1.2835159721859475e-122
VGLL1,-27.845163868341384,2.2649726789387854e-124,-4.131200561944309,4.1516409925738666e-122
SOX10,-27.07124450767584,2.8723093015810456e-123,-4.686242800699992,5.202934860758042e-121
FMNL2,-26.617269920705745,3.876842710158338e-123,-1.3709706718332182,6.94090083817534e-121
FAT2,-26.523058641475284,1.7972560752810804e-122,-3.2043327215712676,3.180730090931355e-120
KLHL29,-27.230877842159956,1.9709022647906284e-122,-1.9227059123714687,3.4215026392618925e-120
SLC6A14,-26.78895845478787,1.9777471903247935e-122,-3.9390405594443627,3.4215026392618925e-120
C17orf51,-26.472744884941584,4.2594424065345956e-122,-1.339554879785223,7.286959414823685e-120
PDE9A,-26.52893258420068,7.157453313225708e-122,-1.8771170257168341,1.2110253699311672e-119
C10orf54,-26.580317808142674,9.503291012937195e-122,-1.342247492989305,1.5904583883281955e-119
HAPLN3,-26.585429844780982,1.1945564263442435e-121,-1.9580343688180655,1.9776973437013246e-119
GPRC5B,-26.38992436918676,1.5440229893685128e-121,-1.4535110725853837,2.5290768050326585e-119
CYP39A1,-26.315927270856516,4.272031102486557e-121,-2.484772658746551,6.92383819841953e-119
MIA,-26.94244008965516,5.760662719444434e-121,-3.771704197734825,9.21146147364866e-119
GPR12,-28.00047757850076,5.803154919425342e-121,-3.0422239027412434,9.21146147364866e-119
ETS2,-26.272943802182777,2.3124448192466698e-120,-1.120422376687456,3.6331339675449976e-118
SLC6A2,-28.467996192411405,9.25409994811355e-120,-2.599457062346474,1.4392462313242863e-117
LIX1L,-26.088120223862184,2.004244496232033e-119,-1.0401805634659969,3.0859352508484614e-117
PRKCA,-26.230672642820764,2.50545221983983e-119,-1.5875278271124644,3.819450280086521e-117
RNF145,-26.076027933207452,3.8700391120702845e-119,-1.26958169333275,5.841861981230017e-117
CSDA,-26.11143352270401,9.313527788727244e-119,-1.438978358079174,1.3922367705148872e-116
RCAN1,-26.07433069183053,1.2761891432602926e-118,-1.6533893034934266,1.8893734844979543e-116
PPARA,-25.94010208501322,2.6059924953213205e-118,-1.3241703680354702,3.8213777571868927e-116
RARRES1,-25.995386341869935,2.693306897754109e-118,-2.5942667724614736,3.9121553117660394e-116
PTCHD1,-26.528086533569788,5.016372709281181e-118,-3.1355511847568494,7.218419682691807e-116
EPHA2,-25.949649527448976,6.986836069721123e-118,-1.2396556759635597,9.960769904212605e-116
FABP7,-26.860042852821106,7.0808939283483445e-118,-4.424940834438381,1.0002249891264172e-115
CHODL,-26.430825360891212,1.5761210566589235e-117,-2.6113727033107987,2.2061396281252224e-115
CAPN6,-26.15881343313808,1.7061982203568774e-117,-3.5476904137953578,2.3666967566517875e-115
FMO2,-25.994955144987543,1.9691604482047637e-117,-2.8743213212756284,2.707068162590067e-115
CXCL3,-26.470091346674867,3.3553701362542765e-117,-2.0420464348601124,4.571914512204168e-115
FERMT1,-25.823244628818816,4.700255961851747e-117,-2.8806196506597748,6.348231670581697e-115
RYR3,-27.1920711395978,6.855590992047039e-117,-2.1212876421164766,9.178742130830282e-115
CNGA1,-25.826965791722035,8.835951817888516e-117,-2.3648805966174735,1.1728202598278405e-114
C10orf90,-27.591131817420322,8.97330735610955e-117,-2.787553452098864,1.1808719090770832e-114
PTGS2,-26.264843302828336,1.2240446435456608e-116,-2.6670239750222846,1.597170794633266e-114
PPP1R14C,-26.06765971333026,1.3355839967622773e-116,-3.1754374573378827,1.7280661174914944e-114
GABRE,-25.734431450088163,5.222078863163881e-116,-2.7643571090845827,6.700362354677857e-114
MAPK4,-25.808815409891412,1.0970986985831291e-115,-3.134309858481343,1.3960354266185484e-113
GDF5,-26.017736355951676,1.131117260326646e-115,-2.4350101568444202,1.4275256112499482e-113
MCF2L2,-25.608897622539452,1.4465745818426904e-115,-1.543579236320953,1.8108055964741386e-113
PIWIL4,-25.705874839065764,1.580122697047552e-115,-1.5488153170583256,1.9620281585839642e-113
MPP6,-25.532673850830705,3.3453298685509425e-115,-1.9146566726810264,4.096100961703026e-113
TMEM220,-25.802737112050842,3.352008320936424e-115,-1.5210973071237524,4.096100961703026e-113
TRIM2,-25.541158964444417,4.0063424141275654e-115,-1.7502510630203734,4.8571381220726083e-113
NOTCH1,-25.59676403935528,2.1334946833028425e-114,-1.0278330639551356,2.5663607530323334e-112
FGFBP1,-26.277773436608854,3.5335996134542396e-114,-3.2770547460924755,4.217583972740692e-112
CSRP2,-25.386826382580832,3.770798205969374e-114,-1.4972582981891618,4.466075382870035e-112
BMP2,-25.715857994249117,3.8537950773620253e-113,-1.96446589530662,4.529533038636878e-111
TSLP,-25.962938003113067,4.060412545605211e-113,-2.288625288580683,4.736225148839654e-111
C6orf145,-25.21920498966073,4.255190518063826e-113,-1.2656526368991994,4.926102887716446e-111
WNT6,-25.83565438347623,6.082795374450781e-113,-2.6034097796787057,6.989313461225274e-111
RGL1,-25.18067943161593,1.1062134455915423e-112,-1.2084291933871132,1.2616569201313315e-110
SOD3,-25.300457332087646,1.5519573690464362e-112,-2.094177995043599,1.7570211478829394e-110
LRIG3,-25.21787254345163,2.4790026943602192e-112,-1.5346789042629512,2.786073320077686e-110
HIF3A,-25.974217323289412,3.9475863509144805e-112,-2.8466374535336154,4.404419351089149e-110
NPM2,-25.399808539184022,6.932824396951688e-112,-2.1143717457229156,7.679474621573032e-110
DEFB1,-25.133684183754053,7.026908814035938e-112,-2.993973289167631,7.728093929265095e-110
RND3,-25.078844287549412,8.972997023892174e-112,-1.5022413447533722,9.798385473536724e-110
SAA4,-25.580625384154477,1.1679057124672493e-111,-2.4327185256842228,1.2663552292153688e-109
PM20D2,-24.995697891103962,1.5095587099787829e-111,-1.913871060955203,1.6253619201079245e-109
TF,-25.047254223858488,2.5481693094962776e-111,-3.449346134323174,2.724594642938485e-109
RIN3,-24.979344904389922,2.574307954274942e-111,-0.948642039303488,2.733559970480778e-109
CMTM7,-24.97128818663227,2.6988556828819778e-111,-1.5414958576987408,2.8461836266666997e-109
ROPN1B,-26.241572213940294,3.3188968226650535e-111,-3.488472807112888,3.4762622026240696e-109
UGT8,-25.487054196900278,3.470478611967264e-111,-3.032836750831498,3.610470215436484e-109
HRCT1,-25.350543555019296,4.5464826843854625e-111,-2.644248716875722,4.698133818220334e-109
LDHB,-24.927038776087006,9.596448742136756e-111,-1.7132155768352835,9.850434752178643e-109
SLC43A3,-25.055342892975037,1.4610798375429306e-110,-1.1729852976022332,1.4898176330230795e-108
SCPEP1,-24.90013732334192,2.0549149937847437e-110,-1.168709799243473,2.0815477736384014e-108
ZNF454,-24.914722333922004,3.3824554973255845e-110,-1.4513320498467461,3.403899823027583e-108
DZIP1,-24.853918205105533,3.481194797951655e-110,-1.396204544466423,3.480516643120885e-108
SAA1,-24.819513592546308,4.109364809485941e-110,-3.4541286347035856,4.082057417526131e-108
ADAMTS1,-24.787942179865553,7.300291372004002e-110,-1.7977986799200067,7.205293990688821e-108
PLD1,-24.7373157841328,1.0924207532335606e-109,-1.3406092242559833,1.0713377285055499e-107
MSN,-24.732393675873503,1.509045832432259e-109,-1.0001383747092394,1.4705556127822464e-107
PRKD3,-24.779813239149835,1.566674027911375e-109,-1.1756113318188728,1.5171119501730465e-107
KRT16,-24.908750677134183,1.6479269567407697e-109,-3.838204682506893,1.5858207095586022e-107
MRAP2,-24.712948156935585,1.7161416258798265e-109,-2.2435835693789246,1.641206994637993e-107
LANCL3,-25.08295542511429,2.5554017124798443e-109,-1.4477804607508518,2.4287358127809976e-107
LOXL4,-25.177103385266438,2.5841498118426773e-109,-2.1675337253538007,2.4409910830025584e-107
NFIL3,-24.792771092653044,4.0639026024608783e-109,-1.3499124823373343,3.815360266468911e-107
SYN2,-24.95984017364876,2.2646804118301183e-108,-2.6563398431555787,2.1132899576332321e-106
LPIN1,-25.099824139219084,2.5941950276720276e-108,-1.2216196196821958,2.4061940265702536e-106
PSAT1,-24.584285502442732,3.8839730200157e-108,-2.7328749250016315,3.5809300951605825e-106
BMP6,-24.84630532453875,6.397283663673024e-108,-1.6895279423273397,5.863034319617474e-106
CSDAP1,-24.509629489875785,9.26761636681387e-108,-1.347657873741876,8.443401727800778e-106
TTYH1,-25.687579267022446,9.513893095381988e-108,-3.2973251304319455,8.616788940564499e-106
FAM150B,-26.22029708202743,1.1296624538965377e-107,-2.645095614769246,1.0171586434295317e-105
GSTP1,-24.464296423048275,3.3945133618460435e-107,-1.7515702582552457,3.038681525136252e-105
TUBB6,-24.425271738864588,4.154247961694134e-107,-1.1653247548966341,3.69728068590778e-105
PCOLCE2,-24.65488655055751,4.3194714240773377e-107,-3.32668720136519,3.8222357193401594e-105
DPF3,-24.382664869743397,8.418182321783411e-107,-1.724541695289231,7.406557326199953e-105
IFNAR2,-24.34674274496985,9.564343844239372e-107,-0.838158809047636,8.367170577826909e-105
DUSP22,-24.27033837820701,2.8028252611121056e-106,-0.701366169213701,2.4381412737481973e-104
UBE2E3,-24.651095707912837,3.559133309947145e-106,-1.3153956631377604,3.07865031310428e-104
LIPG,-24.250070050039106,5.75331436895763e-106,-2.013543408295476,4.948814599935231e-104
CAV2,-24.800409179545248,8.642729888768788e-106,-1.6214048477207097,7.392895116520724e-104
MFGE8,-24.477538202124624,1.2113634749930727e-105,-1.5499742690376284,1.0304620676501845e-103
SCHIP1,-24.490606808363278,1.4663976985409022e-105,-1.206673080476519,1.2405563387051797e-103
RUNX3,-24.17702376881806,1.8980082818783883e-105,-1.5835866399643477,1.5969198642667513e-103
DUSP7,-24.31875871093226,1.9964709721897923e-105,-0.7053037053542379,1.670633889065556e-103
GPR55,-24.31293979114176,2.6338748152618225e-105,-1.850627733636229,2.1920957043560152e-103
C6orf211,24.09092571590533,6.869002205102099e-105,1.6306962913849645,5.686130481288012e-103
CPNE8,-24.11044606518171,9.245544642590668e-105,-1.3413612062781288,7.572887245108922e-103
SPNS2,-24.06104169084029,9.246624680655176e-105,-1.4407676474424482,7.572887245108922e-103
ANKRD53,-24.42364708405227,2.1282353666978655e-104,-1.716945079998259,1.7337798910606896e-102
RASSF9,-24.098200089800596,2.2005827926321588e-104,-1.7443539395882697,1.783282803060913e-102
ICAM2,-24.06277945358999,2.858930576545474e-104,-1.1987238478511175,2.304657282045584e-102
FAM124A,-23.95855337929764,3.905848456832156e-104,-1.3182949843481704,3.1322056609294117e-102
ACSL4,-23.941051665549253,4.996296526583546e-104,-1.2381131203669558,3.985905576155796e-102
KCNS1,-24.667703248748385,1.7619379789668622e-103,-2.4370914295341404,1.3983793331006585e-101
GYPC,-24.21997659412886,2.1469517930124201e-103,-1.3283679876524443,1.695211115744217e-101
S1PR2,-23.833614047694343,2.8339613705397164e-103,-0.8004188349166368,2.2262501643979597e-101
SOSTDC1,-23.989655806249814,4.886392832975598e-103,-3.305580939544799,3.819075657326156e-101
TCF7L2,-24.0476874928645,5.625405941983173e-103,-1.1212139746961967,4.3744633984199457e-101
ITM2C,-23.786646280878482,6.086079462300359e-103,-1.3495622095171793,4.708912838243147e-101
CARD6,-23.843200837919476,8.508671364912263e-103,-1.1562774488598055,6.550400650277706e-101
TNFRSF8,-23.77699719175613,9.600086505113143e-103,-1.562743727310277,7.353857309414281e-101
PKP1,-23.75887173806264,1.037322492983715e-102,-3.1639964875763633,7.906759616074386e-101
LOC339524,-23.923868791005205,1.1071729680300921e-102,-1.8083653328188545,8.397606989536615e-101
IGF2BP2,-24.02321382741185,1.6235006046227106e-102,-2.3012824694028424,1.225345039675288e-100
PIM1,-23.855900023007976,1.8000292722896825e-102,-1.2214561275841849,1.3519536929484996e-100
FGFBP2,-24.609177753500468,1.8572424819362937e-102,-2.574962758418293,1.3881535191443259e-100
KRT5,-23.72466471142179,2.2153850894776705e-102,-4.22938211288886,1.6478398175211447e-100
SAA2,-23.803341301350684,2.5067115860409286e-102,-3.408861930718893,1.8555691485707777e-100
LRRC46,23.881328938952386,3.022654823334505e-102,1.8868063014934418,2.226785469611549e-100
C3orf64,-23.791511939089904,3.2800106868886612e-102,-0.9332750070650597,2.4048725974297486e-100
PTCH1,-23.774455212301604,3.455494470086546e-102,-1.5750518961544486,2.5215283581005945e-100
C17orf28,24.437076997484482,9.508140539899033e-102,1.534028884154699,6.905511315699312e-100
NCK2,-23.60930564358968,1.3866835854158366e-101,-0.8154209783482838,9.984489140761583e-100
TSPAN13,23.730583239584572,1.3877253205968556e-101,1.301578082541667,9.984489140761583e-100
MCTP2,-23.594458427679395,1.4010309572267513e-101,-1.8831608291124056,1.0033336580660601e-99
CNKSR2,-24.111568158459683,1.4308159572649082e-101,-1.9800384279689587,1.019920059907768e-99
JRKL,-23.766276642635308,1.5886744861468465e-101,-1.1821882692767556,1.127226777106129e-99
RGS2,-23.677726905647493,1.679023174703715e-101,-1.8426837085063479,1.1858678816932616e-99
ZFP36L2,-23.58709395457249,1.7439291935524868e-101,-1.1209147947870974,1.226085743978431e-99
PAK3,-24.171165511656056,2.637115719273675e-101,-2.122189529575448,1.8456213968025807e-99
KCNH8,-23.89282006446945,3.4354436699701483e-101,-2.3290338389382876,2.393462723372415e-99
C4orf7,-23.99046764049151,8.714055209877414e-101,-4.39113760679116,6.0437075705622764e-99
FUT4,-23.478519848003398,9.269931067944185e-101,-0.9517451805395654,6.400409356642897e-99
CPNE2,-23.467446513921285,1.2112464561493517e-100,-0.8695565074672196,8.325697180951593e-99
CYYR1,-24.03003138053512,1.311172841321046e-100,-1.388527118432206,8.972501439031176e-99
KIT,-23.6210576484631,1.457180076771196e-100,-2.406853751005407,9.927522850462878e-99
USP44,-24.18394084090729,1.6598750194735184e-100,-1.70975707430273,1.1258632455873905e-98
PIK3CD,-23.43294541050408,2.484215660509283e-100,-1.1911940963240033,1.6776082686342734e-98
DCHS2,-23.72198985845502,2.527978884488136e-100,-2.0483258092215406,1.699707025522438e-98
C2orf89,-23.506266679903817,2.8222426009324925e-100,-1.791854716201832,1.889307362024243e-98
AAGAB,23.47211328041199,2.852290407055032e-100,0.6371270543031589,1.9011565107110965e-98
SOX8,-24.624781407395254,3.1126672922308414e-100,-2.580252643964268,2.0657645818309597e-98
KLF11,-23.510705146511533,4.4365566932959855e-100,-0.8542475234233926,2.9317452105870506e-98
LOC286367,-23.591863192671884,6.016563239351579e-100,-1.465217846894645,3.9588471878759086e-98
KLK6,-23.729790526945173,6.76716547739292e-100,-3.707092525162491,4.433789227890161e-98
FYN,-23.373620299903283,7.111779010632019e-100,-1.045986894850115,4.639833111300898e-98
MT1X,-23.37453539818481,8.002611198443489e-100,-1.697651349427188,5.198995975630144e-98
LYN,-23.409123729263573,1.2008720406477396e-99,-1.116340487706795,7.768834794055986e-98
PI3,-24.11626731934007,1.5709446729807168e-99,-3.415542553422755,1.0120433108738116e-97
ADAMTS9,-23.348998442512173,2.595991275077518e-99,-1.3662088443729505,1.665436569265356e-97
TMEM200C,-23.44472874352528,2.8454748691945298e-99,-1.7394609225886395,1.8179160398750278e-97
CYP7B1,-23.24022429319175,4.4038673298325216e-99,-1.5304045988130692,2.801915094108733e-97
CLIP4,-23.285903978843333,4.681359083733513e-99,-1.6954776292906661,2.9662092926849754e-97
COL4A3,-23.350161918585112,7.559230036610927e-99,-2.0310675811395376,4.770060035807313e-97
MICAL3,-23.185114777951924,1.0167010756200358e-98,-0.9383570422382235,6.389447535233344e-97
CD79B,-23.165113920114585,1.3996965550777774e-98,-1.9060815221408252,8.760621080704284e-97
FXYD6,-23.307165116492243,1.674293123048923e-98,-1.3006164795330548,1.04368790346495e-96
GNAI1,-23.246252405059632,1.7110652225589487e-98,-1.498138605682482,1.0623093238604891e-96
ZC3H12C,-23.149239669765638,1.82618745292343e-98,-1.368730235755753,1.129229245488436e-96
IL18R1,-23.14348392463637,2.11899369180791e-98,-1.3861242304515118,1.3050458349106558e-96
DPYSL2,-23.138271010455302,3.57257884499144e-98,-1.0624802819503891,2.1847554698005194e-96
HYMAI,-23.959997679982354,3.5757509799943554e-98,-1.1601207077020046,2.1847554698005194e-96
GATA3,24.635811691033005,4.255024477960948e-98,2.439349200560862,2.5895103512713326e-96
SGK1,-23.177655343154484,6.285455383256656e-98,-1.21551706865068,3.810124273070974e-96
COX6C,23.182745954155635,6.572865099252034e-98,1.6750895409882371,3.968721722869943e-96
KLK8,-23.68356365747666,7.262332974707223e-98,-3.27603708234603,4.3678961254518404e-96
ANXA9,23.48328866537759,1.0787466807385845e-97,2.3051841503445667,6.462825931257582e-96
SLC25A37,-23.08164809470053,1.3889912671885627e-97,-1.1529337204625953,8.289263000349729e-96
XBP1,24.04177566319655,1.4745270181930795e-97,1.6889633584052444,8.765749999659786e-96
EDN1,-22.97495510289121,2.9834646274052554e-97,-1.760398344601204,1.766784802621489e-95
LRRC8C,-23.12859745198247,3.766905832760479e-97,-1.102766457794397,2.2221857895407318e-95
BACH2,-22.900767322297348,1.0534430447190725e-96,-1.5318696392469704,6.183637904444831e-95
CHRDL1,-22.978712695909426,1.05624262445216e-96,-3.211292219190896,6.183637904444831e-95
HOXA1,-22.93475428262355,1.4028361951778768e-96,-1.1958674017956077,8.18161700649764e-95
ST3GAL6,-23.043931515379256,1.530966940936994e-96,-1.1907852764070332,8.895206788530904e-95
KLK7,-23.141909066775998,1.8065986466885869e-96,-3.6147872453859704,1.0457217805663223e-94
ESR1,23.687500656719976,3.007220599838356e-96,3.4918949832612203,1.7341638792401187e-94
TDRD6,-22.81827037140895,4.793220356818269e-96,-1.4628186512249726,2.753776635594436e-94
GSN,-23.238504376773122,5.149787622038818e-96,-1.2535223995130522,2.94763122738036e-94
AMOTL1,-22.787809077814533,5.9262915977401055e-96,-1.369984783482968,3.379522656681644e-94
IRX1,-23.057396781577427,6.88477618095795e-96,-2.8431938001347827,3.911619884066773e-94
DSC3,-22.779183513952937,8.467032980791199e-96,-3.3608535222060345,4.7929009854868416e-94
IL6,-22.836720005365457,1.321548029650415e-95,-2.5093367318101856,7.453434070522871e-94
PNMA3,-22.909734401139676,1.357694049320173e-95,-2.1318342579509166,7.629348641380549e-94
C1QL2,-24.083076653794333,1.448875183822055e-95,-2.3323882399295677,8.112120438293884e-94
PALM2-AKAP2,-23.013902315186936,1.6064373649598815e-95,-1.1939457348753404,8.961708734886702e-94
ETS1,-22.720881750856954,1.7949864992172413e-95,-1.0905884078607002,9.977403295468542e-94
SCARA5,-23.06045263901062,1.969225060941898e-95,-3.388189836633982,1.0906531749396547e-93
OCA2,-24.495500081631246,2.012958653166966e-95,-2.40518828666768,1.1108790101366226e-93
FZD7,-22.751909109599907,2.0388378824265238e-95,-1.3403990755635888,1.1211423884186136e-93
RRN3P1,-22.730644659661277,2.93432161225305e-95,-1.4839905252059755,1.6078202798526764e-93
NDRG2,-23.149898025371932,4.655219718718372e-95,-1.6158721408230345,2.5417169506775453e-93
RNF175,-22.69096699036143,8.035142519868319e-95,-1.3682981119975688,4.3716285999439045e-93
RCSD1,-22.719328532156563,9.424651429227038e-95,-1.2215275771178868,5.109554861120024e-93
SCN5A,-22.92143712852878,1.5647878575415288e-94,-1.770399205452058,8.453697769321726e-93
EDAR,-23.5350650018431,1.8199220370990835e-94,-2.0610100215212697,9.797671190634472e-93
RIMS3,-22.564366287606866,2.4324673377231956e-94,-1.4884422414730132,1.304972111460768e-92
RASGEF1B,-22.552423530269493,2.5331251867932817e-94,-1.2491435561183515,1.3542544618422278e-92
SLC9A6,-22.576255623143656,3.8416463287036167e-94,-1.0925627236364424,2.0467068693096743e-92
HAAO,-22.56075784783391,3.8859065568066843e-94,-1.454459592726252,2.0631483881087077e-92
OBFC2A,-22.565792948652895,4.240152129409336e-94,-1.105729756418346,2.243492176512562e-92
TCN2,-22.51791884651057,5.843696338680778e-94,-1.0345459788917655,3.081349059132464e-92
MYLK4,-22.499757099710294,9.372415128247294e-94,-1.2196644007738846,4.9251561682465386e-92
ARL4C,-22.482992797471564,1.1526238188098875e-93,-1.2188503684702745,6.036377189869333e-92
