k,sil_mean,sil_std,ch_index
2,0.16954509068509235,0.0,270.12922500720146
3,0.21227547970354346,9.933750141440011e-05,287.1433644795338
4,0.18776864377420036,9.066248369422232e-05,271.7780709343977
5,0.16157575188740197,0.001243660940109962,238.06029843286424
6,0.15438249304562368,0.0009955356426597636,211.45508518141094
