comparison,chi2,p_value,p_bonf,significant
C1 vs C2,0.3339260729715818,0.5633563682508682,1.6900691047526046,False
C1 vs C3,1.3446894473132058,0.2462086647706737,0.7386259943120211,False
C2 vs C3,2.59902931194336,0.10692918858885814,0.3207875657665744,False
